Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,30,,210977,"SKYRIZI 150 MG/ML-2,4ML CARP SC(RISANQUIZUMABE)",,CARPULE C/360,,"59.001,8576",1,"59.001,86",,A,"3.943.800,37",,"31,95"
,31,,197579,"FIXADOR OSSEO ESTERIL ACO OCX 1,4X250MM-1600142501",,UNIDADE,,"9.680,0000",6,"58.080,00",,A,"4.001.880,37",,"32,42"
,32,,91794,KADCYLA 100MG FR/AMP EV-TRASTUZUMABE ETANSINA(GELAD)(QT),,FA C/100MG,,"8.154,6900",7,"57.082,83",,A,"4.058.963,20",,"32,88"
,33,,212989,OPDUALAG 12/4 MG/ML-20ML FR/AMP EV(NIVOlumabe/RELATLImabe),,FA C/20ML,,"28.539,8500",2,"57.079,70",,A,"4.116.042,90",,"33,34"
,34,,95209,VEKLURY 100MG FR/AMP EV-RENDESIVIR,,FA C/100MG,,"2.847,4300",20,"56.948,60",,A,"4.172.991,50",,"33,81"
,35,,41551,OPDIVO 10MG/ML-4ML FR/AMP EV-NIVOLUMABE(GELAD),,FA C/40MG,,"2.676,0772",21,"56.197,62",,A,"4.229.189,12",,"34,26"
,36,,209414,PROCESSADOR SOM COCHLEAR NUCLEUS 8-CP1110,,MICROGRAMA,,"56.000,0000",1,"56.000,00",,A,"4.285.189,12",,"34,71"
,37,,198737,PROTESE CARDIOVASCULAR AMPLATZER 32X25MM-9ACP2010025,,UNIDADE,,"55.000,0000",1,"55.000,00",,A,"4.340.189,12",,"35,16"
,38,,210003,RYBREVANT 50 MG/ML-7 ML FR/AMP EV(AMIVANTAMABE),,FA C/350MG,,"10.968,2430",5,"54.841,22",,A,"4.395.030,33",,"35,60"
,39,,210645,VITRAKVI 100 MG CAPS DURA ORAL(LAROTRECTINIBE),,CAPS C/100MG,,"900,8803",60,"54.052,82",,A,"4.449.083,15",,"36,04"
,40,,46454,ENTYVIO 300MG FR/AMP EV-VEDOLIZUMABE,,FA C/300MG,,"17.931,6500",3,"53.794,95",,A,"4.502.878,10",,"36,48"
,41,,41905,ADCETRIS 50MG FR/AMP EV-,,FA C/50MG,,"17.761,2800",3,"53.283,84",,A,"4.556.161,94",,"36,91"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,,,,BRENTUXIMABE(GELAD),,,,,,,,,,,
,42,,102871,LYNPARZA 150MG COMP REV-OLAPARIBE,,COMP C/150MG,,"235,1210",224,"52.667,10",,A,"4.608.829,04",,"37,34"
,43,,103969,AVENTAL DESCARTAVEL MANGA LONGA DEJAMARO PREMIUM 30GR,,UNIDADE,,"2,6543",19502,"51.765,02",,A,"4.660.594,05",,"37,76"
,44,,108576,VERZENIOS 150MG COMP REV-ABEMACICLIBE,,COMP C/150MG,,"207,8960",240,"49.895,04",,A,"4.710.489,09",,"38,16"
,45,,12857,FLEBOGAMMA 5G-100ML FR/AMP EV-IMUNOGLOBULINA HUMANA(GELAD),,FRASC C/5G,,"1.750,0000",28,"49.000,00",,A,"4.759.489,09",,"38,56"
,46,,2399,MYCAMINE 100MG FR/AMP EV-MICAFUNGINA,,FA C/100MG,,"239,1417",202,"48.306,62",,A,"4.807.795,71",,"38,95"
,47,,109469,EQUIPO BOMBA PVC VLST10 FRESENIUS-BRM46441300S,,UNIDADE,,"14,4810",3335,"48.294,12",,A,"4.856.089,82",,"39,34"
,48,,21122,SENSOR DESCART NAO ADESIVO OXIMETRO NEO/PED/ADULTO-MAXN,,UNIDADE,,"99,9999",473,"47.299,97",,A,"4.903.389,79",,"39,72"
,49,,80064,STENT BILIAR VIABIL 10FR 8MM 10CM 40CM-VN0810040,,UNIDADE,,"46.888,8900",1,"46.888,89",,A,"4.950.278,68",,"40,10"
,50,,180963,TRODELVY 200 MG FR/AMP EV (SACITUZUMABE GOVITECANA),,FRASC C/200MG,,"7.674,7344",6,"46.048,41",,A,"4.996.327,08",,"40,47"
