,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
31,144,,AGUA DESTILADA 10ML AMP ISOFARMA,AMP C/10ML,,C,,"0,3136",,3188,,"999,65",,"12.975,75",,"0,08 %",
32,161306,,AGUA DESTILADA SF 1000 ML FR - BBRAUN,FRASC C/1000ML,,,,"6,0088",,28,,"168,25",,"13.144,00",,"0,01 %",
33,7964,,"AGULHA ANEST PLEXO STIMUPLEX 22GX2POL 0,7X50MM-4894502",UNIDADE,,C,,"58,0922",,6,,"348,55",,"13.492,56",,"0,03 %",
34,7925,,"AGULHA ANEST RAQUI QUINCKE 22GX3 1/2POL 0,70X88MM-408377",UNIDADE,,C,,"7,4909",,9,,"67,42",,"13.559,97",,"0,01 %",
35,7920,,"AGULHA ANEST RAQUI QUINCKE 25GX3 1/2POL 0,53X88MM-408379",UNIDADE,,C,,"10,7554",,25,,"268,88",,"13.828,86",,"0,02 %",
36,7923,,"AGULHA ANEST RAQUI WHITACRE 27GX3 1/2POL 0,42X88MM-408394",UNIDADE,,C,,"20,8340",,15,,"312,51",,"14.141,37",,"0,02 %",
37,43595,,AGULHA CROCHE ESTERIL N10-,UNIDADE,,C,,"6,1238",,2,,"12,25",,"14.153,62",,"0,00 %",
,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
,,,,,,,Cl,,Custo Unitário,,Qtd Consumo,,Vl Custo Período,,Custo Acumulado,,
,,,299142,,,,,,,,,,,,,,
38,23328,,"AGULHA HIPODERMICA ASPIRACAO 18G 1,20X25MM-305243",UNIDADE,,C,,"0,1121",,8525,,"956,07",,"15.109,69",,"0,07 %",
39,28000,,"AGULHA HIPODERMICA C/DISP SEG ECLIPSE 0,4X13MM-30281264",UNIDADE,,C,,"0,3925",,373,,"146,41",,"15.256,10",,"0,01 %",
40,199812,,"AGULHA HIPODERMICA C/DISP SEG ECLIPSE 0,60X25MM-30281464",UNIDADE,,,,"0,4649",,330,,"153,41",,"15.409,51",,"0,01 %",
41,23327,,"AGULHA HIPODERMICA C/DISP SEG ECLIPSE 0,80X30MM-305818",UNIDADE,,C,,"0,3979",,56,,"22,28",,"15.431,79",,"0,00 %",
42,78226,,"AGULHA HIPODERMICA C/DISP SEG WILTEX 0,4X13MM-AQZ2713",UNIDADE,,,,"0,4700",,218,,"102,46",,"15.534,25",,"0,01 %",
43,78232,,"AGULHA HIPODERMICA C/DISP SEG WILTEX 0,80X30MM-MDL2130S",UNIDADE,,,,"0,5561",,7,,"3,89",,"15.538,15",,"0,00 %",
44,7954,,"AGULHA HIPODERMICA PRECISIONGLIDE 18GA 1,2X40MM-300017",UNIDADE,,,,"0,1034",,208,,"21,50",,"15.559,65",,"0,00 %",
45,199810,,"AGULHA HIPODERMICA PRECISIONGLIDE 27G 0,40X13MM-301982",UNIDADE,,,,"0,0951",,27,,"2,57",,"15.562,21",,"0,00 %",
46,60702,,ALBUMINA HUMANA 200MG/ML(20%)-50ML FR/AMP GRIFOLS,FA C/10000MG,,,,"144,0001",,15,,"2.160,00",,"17.722,22",,"0,17 %",
47,175897,,ALCOOL ANTISSEPTICO VIC PHARMA 70%-100ML FR,UNIDADE,,,,"1,5602",,4,,"6,24",,"17.728,46",,"0,00 %",
48,7969,,ALCOOL ETILICO RIO QUIMICA 70%-1L FR,UNIDADE,,C,,"6,6719",,6,,"40,03",,"17.768,49",,"0,00 %",
49,187,,ALFAST 544MCG/ML-5ML AMP EV-ALFENTANILA,AMP C/2720MCG,,C,,"18,8262",,16,,"301,22",,"18.069,71",,"0,02 %",
50,7970,,ALGODAO HIDROFILO BOLA CREMER 95G-202212,UNIDADE,,C,,"8,8501",,7,,"61,95",,"18.131,66",,"0,00 %",
51,1556,,ALLEGRA 6MG/ML-150ML FR SUSP-FEXOFENADINA,FRASC C/150ML,,C,,"73,1292",,1,,"73,13",,"18.204,79",,"0,01 %",
52,32194,,AMICACINA 250MG/ML-2ML AMP EV/IM TEUTO,AMP C/500MG,,C,,"3,1114",,4,,"12,45",,"18.217,23",,"0,00 %",
53,39307,,AMIODARONA 200MG COMP MEDLEY,COMP C/200MG,,C,,"0,8361",,11,,"9,20",,"18.226,43",,"0,00 %",
54,267,,AMOXICILINA 500MG CAPS EUROFARMA,CAPS C/500MG,,,,"0,9589",,15,,"14,38",,"18.240,81",,"0,00 %",
